"sourceName","sourceVersion","device","unit","creationDate","startDate","endDate","value","midtime"
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e86540>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-16 14:41:06,2016-06-16 14:41:06,2,2016-06-16 14:41:06
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e86400>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 02:41:14,2016-06-17 02:41:14,8,2016-06-17 02:41:14
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e86360>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 02:46:45,2016-06-17 02:46:45,9,2016-06-17 02:46:45
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e862c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 02:57:14,2016-06-17 02:57:14,4,2016-06-17 02:57:14
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e86220>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 03:03:11,2016-06-17 03:03:11,1,2016-06-17 03:03:11
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e86180>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 04:35:22,2016-06-17 04:35:22,2,2016-06-17 04:35:22
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e860e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 07:38:28,2016-06-17 07:38:28,1,2016-06-17 07:38:28
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85f50>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 07:53:33,2016-06-17 07:53:33,6,2016-06-17 07:53:33
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85eb0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 07:59:19,2016-06-17 07:59:19,2,2016-06-17 07:59:19
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85e10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 08:14:38,2016-06-17 08:14:38,11,2016-06-17 08:14:38
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85d70>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 08:19:38,2016-06-17 08:19:38,6,2016-06-17 08:19:38
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85dc0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 08:24:38,2016-06-17 08:24:38,2,2016-06-17 08:24:38
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85d20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 08:30:38,2016-06-17 08:30:38,14,2016-06-17 08:30:38
"Dylan iPhone","9.3.2","<<HKDevice: 0x170e85c80>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,2, software:9.3.2>","count",2016-06-23 15:12:22,2016-06-17 08:35:38,2016-06-17 08:35:38,12,2016-06-17 08:35:38
